timestamp,index,memory_used_mib,memory_free_mib,utilization_gpu_pct,power_w,sm_clock_mhz
2026/08/30 00:59:24.181, 1, 22733, 1394, 100, 161.05, 1650
2026/08/30 00:59:24.194, 2, 22733, 1394, 100, 161.23, 1650
2026/08/30 00:59:24.205, 3, 22733, 1394, 100, 171.39, 1650
2026/08/30 00:59:25.399, 0, 22757, 1370, 100, 154.01, 1650
2026/08/30 00:59:25.410, 1, 22733, 1394, 99, 160.69, 1650
2026/08/30 00:59:25.423, 2, 22733, 1394, 95, 160.11, 1650
2026/08/30 00:59:25.438, 3, 22733, 1394, 100, 170.39, 1650
2026/08/30 00:59:26.647, 0, 22757, 1370, 100, 155.92, 1650
2026/08/30 00:59:26.660, 1, 22733, 1394, 60, 160.81, 1650
2026/08/30 00:59:26.674, 2, 22733, 1394, 59, 160.73, 1650
2026/08/30 00:59:26.688, 3, 22733, 1394, 62, 170.76, 1650
2026/08/30 00:59:27.881, 0, 22757, 1370, 100, 156.29, 1650
2026/08/30 00:59:27.896, 1, 22733, 1394, 100, 162.48, 1650
2026/08/30 00:59:27.910, 2, 22733, 1394, 100, 162.27, 1650
2026/08/30 00:59:27.922, 3, 22733, 1394, 100, 172.53, 1650
2026/08/30 00:59:29.130, 0, 22757, 1370, 100, 155.54, 1650
2026/08/30 00:59:29.144, 1, 22733, 1394, 100, 161.29, 1650
2026/08/30 00:59:29.157, 2, 22733, 1394, 100, 162.43, 1650
2026/08/30 00:59:29.170, 3, 22733, 1394, 100, 172.59, 1650
2026/08/30 00:59:30.373, 0, 22757, 1370, 100, 154.60, 1650
2026/08/30 00:59:30.389, 1, 22733, 1394, 100, 160.90, 1650
2026/08/30 00:59:30.403, 2, 22733, 1394, 100, 160.86, 1650
2026/08/30 00:59:30.419, 3, 22733, 1394, 100, 170.72, 1650
2026/08/30 00:59:31.625, 0, 22757, 1370, 100, 155.34, 1650
2026/08/30 00:59:31.642, 1, 22733, 1394, 100, 161.23, 1650
2026/08/30 00:59:31.664, 2, 22733, 1394, 100, 161.92, 1650
2026/08/30 00:59:31.690, 3, 22733, 1394, 100, 171.18, 1650
2026/08/30 00:59:32.907, 0, 22757, 1370, 100, 155.37, 1650
2026/08/30 00:59:32.923, 1, 22733, 1394, 100, 161.57, 1650
2026/08/30 00:59:32.936, 2, 22733, 1394, 99, 161.95, 1650
2026/08/30 00:59:32.948, 3, 22733, 1394, 100, 171.63, 1650
2026/08/30 00:59:34.206, 0, 22757, 1370, 75, 155.86, 1650
2026/08/30 00:59:34.223, 1, 22733, 1394, 74, 161.63, 1650
2026/08/30 00:59:34.237, 2, 22733, 1394, 74, 162.76, 1650
2026/08/30 00:59:34.252, 3, 22733, 1394, 100, 171.80, 1650
2026/08/30 00:59:35.458, 0, 22757, 1370, 100, 157.11, 1650
2026/08/30 00:59:35.467, 1, 22733, 1394, 90, 162.84, 1650
2026/08/30 00:59:35.477, 2, 22733, 1394, 93, 163.39, 1650
2026/08/30 00:59:35.490, 3, 22733, 1394, 100, 172.89, 1650
2026/08/30 00:59:36.694, 0, 22757, 1370, 100, 157.39, 1650
2026/08/30 00:59:36.708, 1, 22733, 1394, 100, 163.57, 1650
2026/08/30 00:59:36.720, 2, 22733, 1394, 100, 164.05, 1650
2026/08/30 00:59:36.733, 3, 22733, 1394, 100, 172.95, 1650
2026/08/30 00:59:37.910, 0, 22757, 1370, 100, 155.34, 1650
2026/08/30 00:59:37.927, 1, 22733, 1394, 100, 162.22, 1650
2026/08/30 00:59:37.944, 2, 22733, 1394, 100, 163.16, 1650
2026/08/30 00:59:37.960, 3, 22733, 1394, 100, 171.67, 1650
2026/08/30 00:59:39.159, 0, 22757, 1370, 100, 156.40, 1650
2026/08/30 00:59:39.177, 1, 22733, 1394, 100, 162.95, 1650
2026/08/30 00:59:39.193, 2, 22733, 1394, 100, 163.20, 1650
2026/08/30 00:59:39.208, 3, 22733, 1394, 100, 172.28, 1650
2026/08/30 00:59:40.430, 0, 22757, 1370, 79, 155.35, 1650
2026/08/30 00:59:40.442, 1, 22733, 1394, 62, 162.09, 1650
2026/08/30 00:59:40.457, 2, 22733, 1394, 100, 161.83, 1650
2026/08/30 00:59:40.470, 3, 22733, 1394, 100, 170.73, 1650
2026/08/30 00:59:41.665, 0, 22757, 1370, 100, 156.70, 1650
2026/08/30 00:59:41.675, 1, 22733, 1394, 100, 163.68, 1650
2026/08/30 00:59:41.685, 2, 22733, 1394, 100, 163.21, 1650
2026/08/30 00:59:41.700, 3, 22733, 1394, 100, 172.56, 1650
2026/08/30 00:59:42.908, 0, 22757, 1370, 100, 157.42, 1650
2026/08/30 00:59:42.924, 1, 22733, 1394, 100, 164.35, 1650
2026/08/30 00:59:42.941, 2, 22733, 1394, 100, 163.99, 1650
2026/08/30 00:59:42.958, 3, 22733, 1394, 100, 173.43, 1650
2026/08/30 00:59:44.169, 0, 22757, 1370, 100, 157.15, 1650
2026/08/30 00:59:44.184, 1, 22733, 1394, 100, 163.78, 1650
2026/08/30 00:59:44.197, 2, 22733, 1394, 100, 163.22, 1650
2026/08/30 00:59:44.211, 3, 22733, 1394, 100, 172.70, 1650
2026/08/30 00:59:45.402, 0, 22757, 1370, 100, 156.83, 1650
2026/08/30 00:59:45.416, 1, 22733, 1394, 100, 162.80, 1650
2026/08/30 00:59:45.428, 2, 22733, 1394, 100, 163.00, 1650
2026/08/30 00:59:45.441, 3, 22733, 1394, 100, 171.80, 1650
2026/08/30 00:59:46.646, 0, 22757, 1370, 64, 156.57, 1650
2026/08/30 00:59:46.661, 1, 22733, 1394, 80, 162.54, 1650
2026/08/30 00:59:46.673, 2, 22733, 1394, 77, 162.34, 1650
2026/08/30 00:59:46.688, 3, 22733, 1394, 61, 171.88, 1650
2026/08/30 00:59:47.902, 0, 22757, 1370, 100, 158.63, 1650
2026/08/30 00:59:47.918, 1, 22733, 1394, 100, 164.54, 1650
2026/08/30 00:59:47.936, 2, 22733, 1394, 100, 164.73, 1650
2026/08/30 00:59:47.952, 3, 22733, 1394, 100, 173.53, 1650
2026/08/30 00:59:49.141, 0, 22757, 1370, 100, 157.55, 1650
2026/08/30 00:59:49.158, 1, 22733, 1394, 100, 164.50, 1650
2026/08/30 00:59:49.173, 2, 22733, 1394, 100, 164.55, 1650
2026/08/30 00:59:49.188, 3, 22733, 1394, 100, 173.79, 1650
2026/08/30 00:59:50.416, 0, 22757, 1370, 100, 156.58, 1650
2026/08/30 00:59:50.432, 1, 22733, 1394, 100, 162.51, 1650
2026/08/30 00:59:50.450, 2, 22733, 1394, 100, 162.81, 1650
2026/08/30 00:59:50.467, 3, 22733, 1394, 100, 171.42, 1650
2026/08/30 00:59:51.667, 0, 22757, 1370, 62, 156.49, 1650
2026/08/30 00:59:51.682, 1, 22733, 1394, 100, 162.80, 1650
